Brand,Product Name,Product Type,Formulation,Cost,Size,Size (oz),Size(mL),Unit Cost per Unit Size ($/mL),Skin Concerns,Skin Type,Highlighted Ingredient #1,Highlighted Ingredient#2,Highlighted Ingredient #3,Loves,Reviews,Stars,AI-generated Pros,AI-generated Cons
The INKEY List,Salicylic Acid Cleanser + Blackhead Cleanser,Cleanser,Gel,$13.00 ,5 oz/ 150 mL,5 oz,150 mL,$0.09 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Salicylic Acid,Allantoin ,Zinc Compound ,195500,2100,4.3,,
Peace Out,2% Salicylic Acid Acne Gel Cleanser,Cleanser,Gel,$29.00 ,4 oz,4 oz,118 mL,$0.25 ,"Redness, Acne and Blemishes, Oiliness",All,Salicylic Acid,Maltobionic Acid ,Ceramide Complex,3300,208,4.9,,
Dermalogica,Acne Clearing Skin Wash Cleanser,Cleanser,Gel,$44.00 ,8.4 oz / 250 mL,8.4 oz ,250 mL,$0.18 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Encapsulated salicylic Acid + Phytic Acid,Glycerin,"Menthol, Camphor, Tea Tree, Chamomile Flower",23400,559,4.6,,
Youth To The People,Superfood Gentle Antiocidant Refillable Cleanser,Cleanser,Gel,$39.00 ,8 oz / 237 mL,8 oz ,237 mL,$0.16 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Kale + Spinach,Glycerin,Green Tea Extract,635900,7100,4.2,,
Murad,Acne Control Clarifying Cleanser,Cleanser,"Foam, Gel",$39.00 ,6.75 oz ,6.75 oz ,200 mL,$0.20 ,"Pores, Acne and Blemishes, Oiliness",All,Salicylic Acid,Green Tea Extract,Cantaloupe Fruit Extract,63500,2300,4.2,,
Skinfix,Acne + 2% BHA Cleanser + Azelaic Acid + Nicinamide + AHA Cleanser,Cleanser,"Foam, Exofliating",$23.00 ,5 oz/ 148 mL,5 oz,148 mL,$0.16 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Salicylic Acid,Nicainamide,Azelaic Acid,57600,520,4.4,,
Caudalie,Vinopure Pore Puryfying Gel Cleanser,Cleanser,Gel,$30.00 ,5 oz/ 150 mL,5 oz,150 mL,$0.20 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Salicylic Acid,Grape Water,Essential Oil Complex and Grapeseed Polyphenols,62300,1000,4.4,,
Paula's Choice,Clear Pore Normalizing Acne Cleanser,Cleanser,Gel,$22.00 ,6 oz / 177 mL,6 oz ,177 mL,$0.12 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Salicylic Acid,Arginine ,Provitamin B5 (Panthenol),43800,105,4,,
Herbivore,Aquarius BHA Cleanser + Blue Tansy Clarifying Cleanser,Cleanser,Gel to Foam,$26.00 ,3.38 oz / 100 mL,3.38 oz ,100 mL,$0.26 ,"Pores, Acne and Blemishes, Oiliness","Oily, Combo, Normal",Salicylic Acid,Blue Tansy Oil,Zinc PCA,23500,264,4.6,,
The INKEY List,SuperSolutions 5% Benzoyl Peroxide Cleanser Acne Solution,Cleanser,n/a,$18.00 ,5 oz / 150 mL,5 oz ,150 mL,$0.12 ,Acne and Blemishes,All,Benzoyl Peroxide,Glycerin,Hyaluronic Acid,13000,115,3.8,,
Dieux,Baptism Gentle Foaming Facial Gel Cleanser with Glycerin,Cleanser,Gel,$34.00 ,7 oz / 200 mL,7 oz ,200 mL,$0.17 ,"Dryness, Dullness,  Acne and Blemishes",All,Gentle Cleansing Complex,Glycerin,Betaine,7800,450,4.9,,
