Active Ingredients,"Main Property(exfoliator, moisturizer, mix)",Molecule,Count of Active Ingredients,Main Benefit,Benefits
Allantoin ,mix,nucleic acid derivative,1,,"Hydration, Exfoliation, Soothing, Anti-inflammatory, Anti-aging, Acne prevention, Scar reduction"
Aloe Vera,moisturizer,plant/fruit extract,1,,"Soothing, Healing, Hydrating, Fighting acne, Anti-aging, Moisturizing, Antimicrobial"
Aloe Vera Leaf Juice,moisturizer,plant/fruit extract,1,,"Soothing, Hydrating, Antimicrobial, Exfoliating, Anti-inflammatory, Moisturizing, Slows aging, Protecting against UV rays"
Arginine ,moisturizer,amino acid ,1,,"Hydration, Wound healing, Antioxidant, Collagen production, Skin barrier protection, Soothing, Blood supply"
Betaine,moisturizer,amino acid derivative,1,,"Hydration, Soothing, Anti-inflammatory,  Barrier repair, Uneven skin tone"
Blue Tansy Oil,moisturizer,plant/fruit extract,1,,"Anti-inflammation, Soothing, Calms blemishes and redness, Slows aging"
Cantaloupe Fruit Extract,mix,plant/fruit extract,1,,"Anti-aging, Hydrating, Exfoliating, Soothing, Moisturizing, Reducing the appearance of scars and stretch marks"
Ceramide Complex,moisturizer,lipid,1,,"Hydration, Plumpness, Anti-aging, Protection, Skin health"
"Chamomile Flower Extract, Pinus Pinaster Bark Extract",moisturizer,plant/fruit extract,1,,"Soothing, Antioxidant Protection, Anti-Inflammatory, Promotes Healing, Hydration, Anti-Bacterial, Softens, Brightens Skin"
Complex with Honey and Rice,moisturizer,plant/fruit extract,1,,"Moisturizing, Soothing, Antioxidant Protection, Anti-Bacterial, Wound Healing, Brightens, Gentle Exfoliation, Oil Control, Anti-Aging, Improves Skin Barrier"
Essential Oil Complex and Grapeseed Polyphenols,moisturizer,lipid,1,,"Moisturizing, Antioxidant Protection, Soothing, Anti-Bacterial, Anti-Fungal, Brightening, Skin Tone, Aromatherapy Benefits

"
Ginger Root Extract,mix,plant/fruit extract,1,,"Anti-inflammatory, Antioxidant, Skin texture, UV protection, Collagen production, Scar fading, Acne, Dandruff, Elasticity"
Glycerin,moisturizer,carbohydrate,4,,"Hydration, Skin barrier, Skin texture, Skin plumping, Wound healing, Non-comedogenic, All skin types"
Grape Water,moisturizer,plant/fruit extract,1,,"Intense Hydration, Soothing, Antioxidant Protection, Anti-Inflammatory, Improves Skin Barrier, Non-Comedogenic, Enhances Product Absorption, Gentle Toning Effect"
"Green Fusion Complex (green tea, eucalyptus, kelp, Irish Moss)",mix,plant/fruit extract,1,,
Green Tea Extract,moisturizer,plant/fruit extract,3,,"Anti-aging, UV protection, Hydration, Acne treatment, Skin repair, Dark spot reduction, Cancer prevention"
"Green Tea Extract, Aloe Vera Leaf Extract",moisturizer,plant/fruit extract,1,,"Anti-aging, UV protection, Hydration, Acne fighting,  Skin repair, Dark spot reduction, Cancer prevention, Soothing, Healing, Moisturizing"
Hyaluronic Acid,moisturizer,carbohydrate,1,,"Deep Hydration, Improves Skin Elasticity, Supports Skin Barrier, Soothing,  Reduces Lines and Wrinkles, Non-Comedogenic, Enhances Other Skincare Ingredients, Wound healing"
Kale + Spinach,mix,plant/fruit extract,1,,"Antioxidants, Anti-Inflammatory,  Boosts Collagen Production, Detoxifying Effects, Hydration, Improves Skin Tone and Texture, Protection Against UV Damage,   Improves Skin Healing"
Laminaria Saccharina,mix,plant/fruit extract,1,,"Hydration, Anti-aging, Anti-inflammatory, Antioxidant, Skin barrier, Skin tone, Chelating"
Licorice Root,mix,plant/fruit extract,1,,"Anti-inflammatory, Hyperpigmentation, Skin tone, Acne, Skin regeneration,  Skin protection, Oil production, Wrinkles,  Antimicrobial, Sensitive skin"
Maltobionic Acid ,mix,carbohydrate,1,,"Exfoliation,  Hydration, Antioxidant, Skin protection,  Non-irritating"
"Menthol, Camphor, Tea Tree, Chamomile Flower",mix,plant/fruit extract,1,,"Cooling and Soothing, Anti-itch, Acne Relief, Circulation Boost, Anti-inflammatory, Antiseptic, Soothing, Antimicrobial, Antioxidant Protection"
Neem Seed Oil,moisturizer,plant/fruit extract,1,,"Anti-Acne, Anti-inflammatory, Antioxidants,  Promotes Skin Healing,  Moisturizing, Balances Oil Production, Prevents Premature Aging, Natural Detoxification, Soothing"
Niacinamide,moisturizer,vitamin,2,,"Skin barrier support, Reduces oiliness, Minimizes pores, Improves skin tone, Reduces signs of aging, Acne fighting,  All skin types"
Oat Extract,mix,plant/fruit extract,1,,"Hydration, Soothing, Exfoliation,Anti-aging, Wound healing,  Barrier repair, Pollution and UV protection"
Oat Kernal Extract,moisturizer,plant/fruit extract,1,,"Hydration, Soothing, Anti-inflammatory,  Anti-aging, Barrier repair, Pollution and UV protection, Exfoliation"
Primrose and Caffeine,moisturizer,plant/fruit extract,1,,"Anti-Inflammatory, Hydrates and Supports Skin Healing,  Improves Skin Tone and Texture, Anti-Aging, Reduces Puffiness, Brightens the Skin,  Antioxidant Protection, Stimulates Circulation, Cellulite Reduction, Sun Protection"
Provitamin B5 (Panthenol),moisturizer,vitamin,1,,"Moisturizes and Hydrates,  Skin Barrier Repair, Soothing, Enhances Wound Healing, Skin Texture, Prevents Skin Dryness, Collagen, Safe and Gentle"
Purslane,moisturizer,plant/fruit extract,1,,"Anti-aging, Rich in Antioxidants, Collagen Production, Anti-inflammatory, Hydrates and Moisturizes, Skin healing, Brightens Skin Tone, Protects Against UV Damage, Acne fighting, Skin Elasticity, gentle"
Rice Ferment Filtrate,mix,plant/fruit extract,1,,"Anti-aging, Skin brightening, Hydration, Soothing, Fine lines and wrinkles, Microbiome balance, Skin texture, Skin elasticity"
Tea Tree Leaf Extract + Oil,mix,plant/fruit extract,1,,"Antibacterial, Antimicrobial, Acne Treatment, Anti-inflammatory, Oil Control, Soothing, healing, Antioxidant, Cleans pores, sensitive"
Thyme Extract,mix,plant/fruit extract,1,,"Antibacterial, Antimicrobial, Anti-inflammatory,  Antioxidant-Rich, Skin Healing, Fights Acne, Oil Control, Tightens Skin, Cleans pores, Stimulates Circulation"
Vitamin C,moisturizer,vitamin,1,,"Brightens, Reduce Dark Circles, Boosts Collagen, Reduces Fine Lines and Wrinkles, Protects Against Sun Damage, Improves Skin Texture, Anti-aging, Fights Free Radical Damage, hydration, Anti-inflammatory, helps with acne"
Zinc Compound ,mix,chemical compound,1,,"Acne Treatment, Reduces Inflammation, Helps with Oil Control, Promotes Skin Healing, Antioxidant Protection, Soothes Sensitive Skin, Treats Sunburn"
Zinc PCA,mix,chemical compound,1,,"Oil Control, Acne Prevention, Anti-inflammatory, Balances pH, Anti-bacterial, Skin Healing, Decrease Pore Size, Improves Skin Texture, Protects Against Environmental Stressors"
